route_id,service_id,trip_short_name,trip_headsign,route_short_name,direction_id,block_id,shape_id,wheelchair_accessible,trip_bikes_allowed,trip_id
1-140,11OCT-MVS-WKD-Weekday-03,,6th/Pac Ave - 8th Ave-SR7,,,761679,10286,0,0,4550316-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,6th/Pac Ave - 8th Ave-SR7,,,761681,10286,0,0,4550317-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,6th/Pac Ave - 8th Ave-SR7,,,761886,10286,0,0,4550318-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,6th/Pac Ave - 8th Ave-SR7,,,761683,10286,0,0,4550319-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,6th/Pac Ave - 8th Ave-SR7,,,761685,10286,0,0,4550320-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,6th/Pac Ave - 8th Ave-SR7,,,761678,10286,0,0,4550321-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,6th/Pac Ave - 8th Ave-SR7,,,761680,10286,0,0,4550322-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,6th/Pac Ave - 8th Ave-SR7,,,761682,10286,0,0,4550323-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,6th/Pac Ave - 8th Ave-SR7,,,761885,10286,0,0,4550324-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,6th/Pac Ave - 8th Ave-SR7,,,761684,10286,0,0,4550325-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,6th/Pac Ave - 8th Ave-SR7,,,761679,10286,0,0,4550326-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,6th/Pac Ave - 8th Ave-SR7,,,761681,10286,0,0,4550327-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,6th/Pac Ave - 8th Ave-SR7,,,761886,10286,0,0,4550328-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,6th/Pac Ave - 8th Ave-SR7,,,761686,10286,0,0,4550329-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,6th/Pac Ave - 8th Ave-SR7,,,761683,10286,0,0,4550330-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,6th/Pac Ave - 8th Ave-SR7,,,761685,10286,0,0,4550331-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,6th/Pac Ave - 8th Ave-SR7,,,761678,10286,0,0,4550332-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,6th/Pac Ave - 8th Ave-SR7,,,761680,10286,0,0,4550333-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,6th/Pac Ave - 8th Ave-SR7,,,761682,10286,0,0,4550334-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,6th/Pac Ave - 8th Ave-SR7,,,761885,10286,0,0,4550335-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,6th/Pac Ave - 8th Ave-SR7,,,761684,10286,0,0,4550336-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,6th/Pac Ave - 8th Ave-SR7,,,761679,10286,0,0,4550337-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,6th/Pac Ave - 8th Ave-SR7,,,761681,10286,0,0,4550338-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,6th/Pac Ave - 8th Ave-SR7,,,761886,10286,0,0,4550339-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,6th/Pac Ave - 8th Ave-SR7,,,761686,10286,0,0,4550340-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,6th/Pac Ave - 8th Ave-SR7,,,761887,10286,0,0,4550341-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,6th/Pac Ave - 8th Ave-SR7,,,761683,10286,0,0,4550342-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,6th/Pac Ave - 8th Ave-SR7,,,761890,10286,0,0,4550343-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,6th/Pac Ave - 8th Ave-SR7,,,761678,10286,0,0,4550344-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,6th/Pac Ave - 8th Ave-SR7,,,761888,10286,0,0,4550345-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,Pacific Ave - Parkland,,,761682,10292,0,0,4550346-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,6th/Pac Ave - 8th Ave-SR7,,,761885,10286,0,0,4550347-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,6th/Pac Ave - 8th Ave-SR7,,,761891,10286,0,0,4550348-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,Pacific Ave - Parkland,,,761679,10292,0,0,4550349-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,6th/Pac Ave - 8th Ave-SR7,,,761681,10286,0,0,4550350-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,6th/Pac Ave - 8th Ave-SR7,,,761686,10286,0,0,4550351-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,Pacific Ave/6th Ave - Dwtn/TCC,,,761678,10289,0,0,4550352-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,Pacific Ave/6th Ave - Dwtn/TCC,,,761680,10289,0,0,4550353-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,Pacific Ave/6th Ave - Dwtn/TCC,,,761682,10289,0,0,4550354-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,Pacific Ave/6th Ave - Dwtn/TCC,,,761679,10289,0,0,4550355-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,Pacific Ave/6th Ave - Dwtn/TCC,,,761681,10289,0,0,4550356-11OCT-MVS-WKD-Weekday-03
