trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign
T202,08:33:00,08:33:00,755000,2,
T203,08:36:00,08:36:00,755006,1,
T203,08:41:00,08:41:00,755000,2,
T204,08:43:00,08:43:00,755006,1,
T204,08:48:00,08:48:00,755000,2,
T205,08:50:00,08:50:00,755006,1,
T205,08:55:00,08:55:00,755000,2,
T206,08:58:00,08:58:00,755006,1,
T206,09:03:00,09:03:00,755000,2,
T207,09:05:00,09:05:00,755006,1,
T207,09:10:00,09:10:00,755000,2,
T208,09:20:00,09:20:00,755006,1,
T208,09:25:00,09:25:00,755000,2,
T209,09:42:00,09:42:00,755006,1,
T209,09:47:00,09:47:00,755000,2,
T210,15:00:00,15:00:00,755006,1,
T210,15:06:00,15:06:00,755000,2,
T211,15:10:00,15:10:00,755006,1,
T211,15:15:00,15:15:00,755000,2,
T212,15:18:00,15:18:00,755006,1,
T212,15:23:00,15:23:00,755000,2,
T213,15:26:00,15:26:00,755006,1,
T213,15:31:00,15:31:00,755000,2,
T214,15:34:00,15:34:00,755006,1,
T214,15:39:00,15:39:00,755000,2,
T215,15:42:00,15:42:00,755006,1,
T215,15:47:00,15:47:00,755000,2,
T216,15:50:00,15:50:00,755006,1,
T216,15:55:00,15:55:00,755000,2,
T217,15:58:00,15:58:00,755006,1,
T217,16:03:00,16:03:00,755000,2,
T218,16:06:00,16:06:00,755006,1,
T218,16:11:00,16:11:00,755000,2,
T219,16:14:00,16:14:00,755006,1,
T219,16:19:00,16:19:00,755000,2,
T220,16:22:00,16:22:00,755006,1,
T220,16:27:00,16:27:00,755000,2,
T221,16:30:00,16:30:00,755006,1,
T221,16:35:00,16:35:00,755000,2,
T222,16:38:00,16:38:00,755006,1,
T222,16:43:00,16:43:00,755000,2,
T223,16:46:00,16:46:00,755006,1,
T223,16:51:00,16:51:00,755000,2,
T224,16:54:00,16:54:00,755006,1,
T224,16:59:00,16:59:00,755000,2,
T225,17:02:00,17:02:00,755006,1,
T225,17:07:00,17:07:00,755000,2,
T226,17:10:00,17:10:00,755006,1,
T226,17:15:00,17:15:00,755000,2,
T227,17:18:00,17:18:00,755006,1,
T227,17:23:00,17:23:00,755000,2,
T228,17:26:00,17:26:00,755006,1,
T228,17:31:00,17:31:00,755000,2,
T229,17:34:00,17:34:00,755006,1,
T229,17:39:00,17:39:00,755000,2,
T230,17:42:00,17:42:00,755006,1,
T230,17:47:00,17:47:00,755000,2,
T231,17:50:00,17:50:00,755006,1,
T231,17:55:00,17:55:00,755000,2,
T232,17:58:00,17:58:00,755006,1,
T232,18:03:00,18:03:00,755000,2,
T233,18:06:00,18:06:00,755006,1,
T233,18:11:00,18:11:00,755000,2,
T234,18:14:00,18:14:00,755006,1,
T234,18:19:00,18:19:00,755000,2,
T235,18:20:00,18:20:00,755006,1,
T235,18:25:00,18:25:00,755000,2,
T236,18:29:00,18:29:00,755006,1,
T236,18:35:00,18:35:00,755000,2,
T237,18:36:00,18:36:00,755006,1,
T237,18:41:00,18:41:00,755000,2,
T238,18:42:00,18:42:00,755006,1,
T238,18:47:00,18:47:00,755000,2,
T239,18:52:00,18:52:00,755006,1,
T239,18:57:00,18:57:00,755000,2,
T240,19:14:00,19:14:00,755006,1,
T240,19:19:00,19:19:00,755000,2,
T241,19:23:00,19:23:00,755006,1,
T241,19:28:00,19:28:00,755000,2,
T242,19:39:00,19:39:00,755006,1,
T242,19:44:00,19:44:00,755000,2,
T243,19:50:00,19:50:00,755006,1,
T243,19:55:00,19:55:00,755000,2,
T244,20:01:00,20:01:00,755006,1,
T244,20:06:00,20:06:00,755000,2,
T245,20:12:00,20:12:00,755006,1,
T245,20:17:00,20:17:00,755000,2,
T246,20:23:00,20:23:00,755006,1,
T246,20:28:00,20:28:00,755000,2,
T247,20:34:00,20:34:00,755006,1,
T247,20:39:00,20:39:00,755000,2,
T248,20:45:00,20:45:00,755006,1,
T248,20:50:00,20:50:00,755000,2,
T249,20:56:00,20:56:00,755006,1,
T249,21:01:00,21:01:00,755000,2,
T250,05:32:00,05:32:00,755000,1,
T250,05:37:00,05:37:00,755006,2,
T251,05:48:00,05:48:00,755000,1,
T251,05:53:00,05:53:00,755006,2,
T252,05:56:00,05:56:00,755000,1,
T252,06:01:00,06:01:00,755006,2,
T253,06:03:00,06:03:00,755000,1,
T253,06:08:00,06:08:00,755006,2,
T254,06:10:00,06:10:00,755000,1,
T254,06:15:00,06:15:00,755006,2,
T255,06:18:00,06:18:00,755000,1,
T255,06:23:00,06:23:00,755006,2,
T256,06:25:00,06:25:00,755000,1,
T256,06:30:00,06:30:00,755006,2,
T257,06:32:00,06:32:00,755000,1,
T257,06:37:00,06:37:00,755006,2,
T258,06:40:00,06:40:00,755000,1,
T258,06:45:00,06:45:00,755006,2,
T259,06:47:00,06:47:00,755000,1,
T259,06:52:00,06:52:00,755006,2,
T260,06:54:00,06:54:00,755000,1,
T260,06:59:00,06:59:00,755006,2,
T261,07:02:00,07:02:00,755000,1,
T261,07:07:00,07:07:00,755006,2,
T262,07:09:00,07:09:00,755000,1,
T262,07:14:00,07:14:00,755006,2,
T263,07:16:00,07:16:00,755000,1,
T263,07:21:00,07:21:00,755006,2,
T264,07:24:00,07:24:00,755000,1,
T264,07:29:00,07:29:00,755006,2,
T265,07:31:00,07:31:00,755000,1,
T265,07:36:00,07:36:00,755006,2,
T266,07:38:00,07:38:00,755000,1,
T266,07:43:00,07:43:00,755006,2,
T267,07:46:00,07:46:00,755000,1,
T267,07:51:00,07:51:00,755006,2,
T268,07:53:00,07:53:00,755000,1,
T268,07:58:00,07:58:00,755006,2,
T269,08:00:00,08:00:00,755000,1,
T269,08:05:00,08:05:00,755006,2,
T270,08:08:00,08:08:00,755000,1,
T270,08:13:00,08:13:00,755006,2,
T271,08:15:00,08:15:00,755000,1,
T271,08:20:00,08:20:00,755006,2,
T272,08:22:00,08:22:00,755000,1,
T272,08:27:00,08:27:00,755006,2,
T273,08:30:00,08:30:00,755000,1,
T273,08:35:00,08:35:00,755006,2,
T274,08:37:00,08:37:00,755000,1,
T274,08:42:00,08:42:00,755006,2,
T275,08:44:00,08:44:00,755000,1,
T275,08:49:00,08:49:00,755006,2,
T276,08:52:00,08:52:00,755000,1,
T276,08:57:00,08:57:00,755006,2,
T277,08:59:00,08:59:00,755000,1,
T277,09:04:00,09:04:00,755006,2,
T278,09:14:00,09:14:00,755000,1,
T278,09:19:00,09:19:00,755006,2,
T279,09:36:00,09:36:00,755000,1,
T279,09:41:00,09:41:00,755006,2,
T280,15:01:00,15:01:00,755000,1,
T280,15:08:00,15:08:00,755006,2,
T281,15:11:00,15:11:00,755000,1,
T281,15:18:00,15:18:00,755006,2,
T282,15:18:00,15:18:00,755000,1,
T282,15:25:00,15:25:00,755006,2,
T283,15:26:00,15:26:00,755000,1,
T283,15:33:00,15:33:00,755006,2,
T284,15:34:00,15:34:00,755000,1,
T284,15:41:00,15:41:00,755006,2,
T285,15:42:00,15:42:00,755000,1,
T285,15:49:00,15:49:00,755006,2,
T286,15:50:00,15:50:00,755000,1,
T286,15:57:00,15:57:00,755006,2,
T287,15:58:00,15:58:00,755000,1,
T287,16:05:00,16:05:00,755006,2,
T288,16:06:00,16:06:00,755000,1,
T288,16:13:00,16:13:00,755006,2,
T289,16:14:00,16:14:00,755000,1,
T289,16:21:00,16:21:00,755006,2,
T290,16:22:00,16:22:00,755000,1,
T290,16:29:00,16:29:00,755006,2,
T291,16:30:00,16:30:00,755000,1,
T291,16:37:00,16:37:00,755006,2,
T292,16:38:00,16:38:00,755000,1,
T292,16:45:00,16:45:00,755006,2,
T293,16:46:00,16:46:00,755000,1,
T293,16:53:00,16:53:00,755006,2,
T294,16:54:00,16:54:00,755000,1,
T294,17:01:00,17:01:00,755006,2,
T295,17:02:00,17:02:00,755000,1,
T295,17:09:00,17:09:00,755006,2,
T296,17:10:00,17:10:00,755000,1,
