trip_id,route_id,service_id,trip_headsign,block_id,shape_id
869_TMS1379,21,1,Inbound,9901,65
159_TMS1677,5,1,Outbound,6002,3
1661_TMS1253,35,2,Outbound,1012,31
567_TMS1857,13,1,Inbound,6204,28
177_TMS1695,5,1,Inbound,6001,41
1220_TMS882,8,2,Outbound,6202,29
1286_TMS1767,9,2,Inbound,1201,27
770_TMS1984,17,1,Inbound,6701,32
1165_TMS269,7,2,Outbound,4102,9
2090_TMS2390,18,3,Inbound,6802,24
1109_TMS462,2,2,Outbound,1201,1
547_TMS966,13,1,Outbound,4407,12
1500_TMS546,16,2,Outbound,6601,36
190_TMS1704,5,1,Inbound,6002,41
1968_TMS1877,13,3,Inbound,4404,28
699_TMS534,16,1,Outbound,6602,36
1555_TMS1995,17,2,Outbound,6701,20
380_TMS905,10,1,Outbound,6803,4
1516_TMS562,16,2,Outbound,6602,36
296_TMS111,8,1,Outbound,4405,29
1466_TMS2381,14,2,Inbound,4403,17
1121_TMS1545,2,2,Inbound,6401,10
1063_TMS1386,37,1,Inbound,9921,61
105_TMS1493,2,1,Inbound,6604,10
1937_TMS1840,12,3,Outbound,6003,25
802_TMS1209,18,1,Inbound,6802,24
352_TMS1716,9,1,Outbound,1201,48
1399_TMS2337,13,2,Outbound,4404,12
112_TMS1500,2,1,Inbound,4103,10
1827_TMS1580,5,3,Inbound,6003,41
595_TMS1017,14,1,Outbound,6201,7
1658_TMS1298,35,2,Outbound,1011,31
926_TMS478,29,1,Outbound,4405,15
743_TMS1127,16,1,Inbound,6603,34
1664_TMS1256,35,2,Outbound,1011,31
649_TMS1073,15,1,Outbound,6401,47
1169_TMS273,7,2,Outbound,4102,9
206_TMS39,7,1,Outbound,4104,9
872_TMS1381,21,1,Inbound,9901,65
1410_TMS1004,13,2,Inbound,4403,28
1811_TMS1564,5,3,Outbound,6002,3
289_TMS104,8,1,Outbound,6202,29
1481_TMS1099,15,2,Outbound,6403,47
536_TMS187,13,1,Outbound,4407,12
256_TMS80,7,1,Inbound,4103,42
1310_TMS504,10,2,Inbound,6002,37
1007_TMS2183,35,1,Inbound,1012,14
1339_TMS2303,11,2,Inbound,6605,16
225_TMS54,7,1,Outbound,4101,9
1386_TMS526,12,2,Inbound,6002,21
2057_TMS1176,16,3,Inbound,6601,34
1218_TMS881,8,2,Outbound,4404,29
1955_TMS1864,13,3,Outbound,4404,12
602_TMS1024,14,1,Outbound,4404,7
682_TMS1922,15,1,Inbound,6401,30
757_TMS1971,17,1,Outbound,6701,20
1858_TMS331,7,3,Inbound,4101,42
127_TMS1515,2,1,Inbound,6605,10
1084_TMS1436,1,2,Inbound,1201,19
1499_TMS545,16,2,Outbound,6605,36
1420_TMS2352,13,2,Inbound,6201,28
235_TMS61,7,1,Outbound,4101,9
1083_TMS232,1,2,Outbound,6402,6
1903_TMS904,8,3,Inbound,4404,35
2104_TMS2082,20,3,Inbound,9401,0
1724_TMS1315,35,2,Inbound,1011,23
1209_TMS308,7,2,Inbound,4101,42
