route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
128,20110916,12860916113,To Edmonds,,,128
128,20110916,12860916114,To Edmonds,,,128
128,20110916,12860916115,To Edmonds,,,128
128,20110916,12860916116,To Edmonds,,,128
128,20110916,12860916117,To Edmonds,,,128
128,20110916,12860916118,To Edmonds,,,128
128,20110916,12860916119,To Edmonds,,,128
131,20110916,13190916110,To Anacortes,,,131
131,20110916,13190916111,To Anacortes,,,131
131,20110916,13190916112,To Anacortes,,,131
131,20110916,13190916113,To Anacortes,,,131
131,20110916,13190916114,To Anacortes,,,131
131,20110916,13190916115,To Anacortes,,,131
131,20110916,13190916116,To Anacortes,,,131
131,20110916,13190916117,To Anacortes,,,131
1310,20110916,131090916110,To Friday Harbor,,,1310
1310,20110916,131090916111,To Friday Harbor,,,1310
1310,20110916,131090916112,To Friday Harbor,,,1310
1310,20110916,131090916113,To Friday Harbor,,,1310
1310,20110916,131090916114,To Friday Harbor,,,1310
1310,20110916,131090916115,To Friday Harbor,,,1310
1315,20110916,131590916110,To Orcas Island,,,1315
1315,20110916,131590916111,To Orcas Island,,,1315
1315,20110916,131590916112,To Orcas Island,,,1315
1315,20110916,131590916113,To Orcas Island,,,1315
1315,20110916,131590916114,To Orcas Island,,,1315
1315,20110916,131590916115,To Orcas Island,,,1315
1315,20110916,131590916116,To Orcas Island,,,1315
1318,20110916,131890916110,To Shaw Island,,,1318
1318,20110916,131890916111,To Shaw Island,,,1318
1318,20110916,131890916112,To Shaw Island,,,1318
1318,20110916,131890916113,To Shaw Island,,,1318
1318,20110916,131890916114,To Shaw Island,,,1318
145,20110916,14570916110,To Clinton,,,145
145,20110916,14570916111,To Clinton,,,145
145,20110916,145709161110,To Clinton,,,145
145,20110916,145709161111,To Clinton,,,145
145,20110916,145709161112,To Clinton,,,145
145,20110916,145709161113,To Clinton,,,145
145,20110916,145709161114,To Clinton,,,145
145,20110916,145709161115,To Clinton,,,145
145,20110916,145709161116,To Clinton,,,145
145,20110916,145709161117,To Clinton,,,145
145,20110916,145709161118,To Clinton,,,145
145,20110916,145709161119,To Clinton,,,145
145,20110916,14570916112,To Clinton,,,145
145,20110916,145709161120,To Clinton,,,145
145,20110916,145709161121,To Clinton,,,145
145,20110916,145709161122,To Clinton,,,145
145,20110916,145709161123,To Clinton,,,145
145,20110916,145709161124,To Clinton,,,145
145,20110916,145709161125,To Clinton,,,145
145,20110916,145709161126,To Clinton,,,145
145,20110916,145709161127,To Clinton,,,145
145,20110916,145709161128,To Clinton,,,145
145,20110916,145709161129,To Clinton,,,145
145,20110916,14570916113,To Clinton,,,145
145,20110916,145709161130,To Clinton,,,145
145,20110916,145709161131,To Clinton,,,145
145,20110916,145709161132,To Clinton,,,145
145,20110916,145709161133,To Clinton,,,145
145,20110916,145709161134,To Clinton,,,145
145,20110916,145709161135,To Clinton,,,145
145,20110916,145709161136,To Clinton,,,145
145,20110916,145709161137,To Clinton,,,145
145,20110916,145709161138,To Clinton,,,145
145,20110916,145709161139,To Clinton,,,145
145,20110916,14570916114,To Clinton,,,145
145,20110916,145709161140,To Clinton,,,145
145,20110916,14570916115,To Clinton,,,145
145,20110916,14570916116,To Clinton,,,145
145,20110916,14570916117,To Clinton,,,145
145,20110916,14570916118,To Clinton,,,145
145,20110916,14570916119,To Clinton,,,145
151,20110916,15190916110,To Anacortes,,,151
151,20110916,15190916111,To Anacortes,,,151
151,20110916,15190916112,To Anacortes,,,151
151,20110916,15190916113,To Anacortes,,,151
151,20110916,15190916114,To Anacortes,,,151
151,20110916,15190916115,To Anacortes,,,151
151,20110916,15190916116,To Anacortes,,,151
1510,20110916,151090916110,To Friday Harbor,,,1510
1510,20110916,151090916111,To Friday Harbor,,,1510
1510,20110916,151090916112,To Friday Harbor,,,1510
1510,20110916,151090916113,To Friday Harbor,,,1510
1510,20110916,151090916114,To Friday Harbor,,,1510
1510,20110916,151090916115,To Friday Harbor,,,1510
1513,20110916,151390916110,To Lopez Island,,,1513
1513,20110916,151390916111,To Lopez Island,,,1513
1513,20110916,151390916112,To Lopez Island,,,1513
1513,20110916,151390916113,To Lopez Island,,,1513
1513,20110916,151390916114,To Lopez Island,,,1513
1513,20110916,151390916115,To Lopez Island,,,1513
1518,20110916,151890916110,To Shaw Island,,,1518
1518,20110916,151890916111,To Shaw Island,,,1518
1518,20110916,151890916112,To Shaw Island,,,1518
1518,20110916,151890916113,To Shaw Island,,,1518
1518,20110916,151890916114,To Shaw Island,,,1518
1518,20110916,151890916115,To Shaw Island,,,1518
1518,20110916,151890916116,To Shaw Island,,,1518
1518,20110916,151890916117,To Shaw Island,,,1518
1621,20110916,162110916110,To Tahlequah,,,1621
1621,20110916,162110916111,To Tahlequah,,,1621
1621,20110916,1621109161110,To Tahlequah,,,1621
1621,20110916,1621109161111,To Tahlequah,,,1621
1621,20110916,1621109161112,To Tahlequah,,,1621
1621,20110916,1621109161113,To Tahlequah,,,1621
1621,20110916,1621109161114,To Tahlequah,,,1621
1621,20110916,1621109161115,To Tahlequah,,,1621
1621,20110916,1621109161116,To Tahlequah,,,1621
1621,20110916,1621109161117,To Tahlequah,,,1621
1621,20110916,1621109161118,To Tahlequah,,,1621
1621,20110916,162110916112,To Tahlequah,,,1621
1621,20110916,162110916113,To Tahlequah,,,1621
1621,20110916,162110916114,To Tahlequah,,,1621
1621,20110916,162110916115,To Tahlequah,,,1621
1621,20110916,162110916116,To Tahlequah,,,1621
1621,20110916,162110916117,To Tahlequah,,,1621
1621,20110916,162110916118,To Tahlequah,,,1621
1621,20110916,162110916119,To Tahlequah,,,1621
1711,20110916,171180916110,To Coupeville,,,1711
1711,20110916,171180916111,To Coupeville,,,1711
1711,20110916,1711809161110,To Coupeville,,,1711
1711,20110916,1711809161111,To Coupeville,,,1711
1711,20110916,1711809161112,To Coupeville,,,1711
1711,20110916,1711809161113,To Coupeville,,,1711
1711,20110916,1711809161114,To Coupeville,,,1711
1711,20110916,171180916112,To Coupeville,,,1711
1711,20110916,171180916113,To Coupeville,,,1711
1711,20110916,171180916114,To Coupeville,,,1711
1711,20110916,171180916115,To Coupeville,,,1711
1711,20110916,171180916116,To Coupeville,,,1711
1711,20110916,171180916117,To Coupeville,,,1711
1711,20110916,171180916118,To Coupeville,,,1711
1711,20110916,171180916119,To Coupeville,,,1711
181,20110916,18190916110,To Anacortes,,,181
181,20110916,18190916111,To Anacortes,,,181
181,20110916,18190916112,To Anacortes,,,181
181,20110916,18190916113,To Anacortes,,,181
181,20110916,18190916114,To Anacortes,,,181
181,20110916,18190916115,To Anacortes,,,181
1810,20110916,181090916110,To Friday Harbor,,,1810
1810,20110916,181090916111,To Friday Harbor,,,1810
1810,20110916,181090916112,To Friday Harbor,,,1810
1810,20110916,181090916113,To Friday Harbor,,,1810
1810,20110916,181090916114,To Friday Harbor,,,1810
1813,20110916,181390916110,To Lopez Island,,,1813
1813,20110916,181390916111,To Lopez Island,,,1813
1813,20110916,181390916112,To Lopez Island,,,1813
1813,20110916,181390916113,To Lopez Island,,,1813
1813,20110916,181390916114,To Lopez Island,,,1813
1813,20110916,181390916115,To Lopez Island,,,1813
1815,20110916,181590916110,To Orcas Island,,,1815
1815,20110916,181590916111,To Orcas Island,,,1815
1815,20110916,181590916112,To Orcas Island,,,1815
1815,20110916,181590916113,To Orcas Island,,,1815
1815,20110916,181590916114,To Orcas Island,,,1815
1815,20110916,181590916115,To Orcas Island,,,1815
1815,20110916,181590916116,To Orcas Island,,,1815
191,20110916,191100916110,To Anacortes,,,191
191,20110916,191100916111,To Anacortes,,,191
1910,20110916,1910100916110,To Friday Harbor,,,1910
2022,20110916,2022150916110,To Vashon Island,,,2022
2022,20110916,2022150916111,To Vashon Island,,,2022
2022,20110916,20221509161110,To Vashon Island,,,2022
2022,20110916,20221509161111,To Vashon Island,,,2022
2022,20110916,20221509161112,To Vashon Island,,,2022
2022,20110916,20221509161113,To Vashon Island,,,2022
2022,20110916,20221509161114,To Vashon Island,,,2022
2022,20110916,20221509161115,To Vashon Island,,,2022
2022,20110916,20221509161116,To Vashon Island,,,2022
2022,20110916,20221509161117,To Vashon Island,,,2022
2022,20110916,20221509161118,To Vashon Island,,,2022
2022,20110916,20221509161119,To Vashon Island,,,2022
2022,20110916,2022150916112,To Vashon Island,,,2022
2022,20110916,20221509161120,To Vashon Island,,,2022
2022,20110916,20221509161121,To Vashon Island,,,2022
2022,20110916,20221509161122,To Vashon Island,,,2022
2022,20110916,2022150916113,To Vashon Island,,,2022
2022,20110916,2022150916114,To Vashon Island,,,2022
2022,20110916,2022150916115,To Vashon Island,,,2022
2022,20110916,2022150916116,To Vashon Island,,,2022
2022,20110916,2022150916117,To Vashon Island,,,2022
2022,20110916,2022150916118,To Vashon Island,,,2022
2022,20110916,2022150916119,To Vashon Island,,,2022
209,20110916,209130916110,To Fauntleroy,,,209
209,20110916,209130916111,To Fauntleroy,,,209
209,20110916,2091309161110,To Fauntleroy,,,209
209,20110916,2091309161111,To Fauntleroy,,,209
209,20110916,2091309161112,To Fauntleroy,,,209
209,20110916,2091309161113,To Fauntleroy,,,209
209,20110916,2091309161114,To Fauntleroy,,,209
209,20110916,2091309161115,To Fauntleroy,,,209
209,20110916,2091309161116,To Fauntleroy,,,209
209,20110916,2091309161117,To Fauntleroy,,,209
209,20110916,2091309161118,To Fauntleroy,,,209
209,20110916,2091309161119,To Fauntleroy,,,209
209,20110916,209130916112,To Fauntleroy,,,209
209,20110916,2091309161120,To Fauntleroy,,,209
