trip_id,stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,route_short_name,pickup_type,drop_off_type,shape_dist_traveled
1514,6,S_TK_NB,17:04:00,17:04:00,King Street Station,,0,0,
1514,7,S_KS_NB,17:23:00,17:23:00,King Street Station,,0,0,
1515,1,S_KS_SB,17:40:00,17:40:00,Tacoma Dome Station,,0,0,
1515,2,S_TK_SB,17:52:00,17:52:00,Tacoma Dome Station,,0,0,
1515,3,S_KE_SB,17:59:00,17:59:00,Tacoma Dome Station,,0,0,
1515,4,S_AU_SB,18:06:00,18:06:00,Tacoma Dome Station,,0,0,
1515,5,S_SU_SB,18:16:00,18:16:00,Tacoma Dome Station,,0,0,
1515,6,S_PU_SB,18:20:00,18:20:00,Tacoma Dome Station,,0,0,
1515,7,S_TD_SB,18:39:00,18:39:00,Tacoma Dome Station,,0,0,
1516,1,S_TD_NB,17:00:00,17:00:00,King Street Station,,0,0,
1516,2,S_PU_NB,17:12:00,17:12:00,King Street Station,,0,0,
1516,3,S_SU_NB,17:17:00,17:17:00,King Street Station,,0,0,
1516,4,S_AU_NB,17:25:00,17:25:00,King Street Station,,0,0,
1516,5,S_KE_NB,17:32:00,17:32:00,King Street Station,,0,0,
1516,6,S_TK_NB,17:39:00,17:39:00,King Street Station,,0,0,
1516,7,S_KS_NB,17:58:00,17:58:00,King Street Station,,0,0,
1517,1,S_KS_SB,18:15:00,18:15:00,Tacoma Dome Station,,0,0,
1517,2,S_TK_SB,18:27:00,18:27:00,Tacoma Dome Station,,0,0,
1517,3,S_KE_SB,18:34:00,18:34:00,Tacoma Dome Station,,0,0,
1517,4,S_AU_SB,18:41:00,18:41:00,Tacoma Dome Station,,0,0,
1517,5,S_SU_SB,18:50:00,18:50:00,Tacoma Dome Station,,0,0,
1517,6,S_PU_SB,18:54:00,18:54:00,Tacoma Dome Station,,0,0,
1517,7,S_TD_SB,19:14:00,19:14:00,Tacoma Dome Station,,0,0,
1700,1,S_KS_NB,16:05:00,16:05:00,Everett Station,,0,0,
1700,2,S_ED_NB,16:32:00,16:32:00,Everett Station,,0,0,
1700,3,S_MU_NB,16:47:00,16:47:00,Everett Station,,0,0,
1700,4,S_EV_NB,17:04:00,17:04:00,Everett Station,,0,0,
1701,1,S_EV_SB,05:45:00,05:45:00,King Street Station,,0,0,
1701,2,S_MU_SB,05:56:00,05:56:00,King Street Station,,0,0,
1701,3,S_ED_SB,06:11:00,06:11:00,King Street Station,,0,0,
1701,4,S_KS_SB,06:44:00,06:44:00,King Street Station,,0,0,
1702,1,S_KS_NB,16:33:00,16:33:00,Everett Station,,0,0,
1702,2,S_ED_NB,17:00:00,17:00:00,Everett Station,,0,0,
1702,3,S_MU_NB,17:15:00,17:15:00,Everett Station,,0,0,
1702,4,S_EV_NB,17:32:00,17:32:00,Everett Station,,0,0,
1703,1,S_EV_SB,06:15:00,06:15:00,King Street Station,,0,0,
